Expression	Value	Location	Type	
halt	'\0' (0x00)	0x200014F6	uint8_t	
resultNdmParam	<array>".b...цсгнлй§яеq"	0x2000148C	uint8_t[15]	
rxNdmCadr	<array>	0x2000070C	uint16_t[1216]	
[0]	18345	0x2000070C	uint16_t	
[1]	20373	0x2000070E	uint16_t	
[2]	21912	0x20000710	uint16_t	
[3]	23433	0x20000712	uint16_t	
[4]	28194	0x20000714	uint16_t	
[5]	32632	0x20000716	uint16_t	
[6]	34625	0x20000718	uint16_t	
[7]	34693	0x2000071A	uint16_t	
[8]	31760	0x2000071C	uint16_t	
[9]	25751	0x2000071E	uint16_t	
[10]	20307	0x20000720	uint16_t	
[11]	19479	0x20000722	uint16_t	
[12]	25252	0x20000724	uint16_t	
[13]	31524	0x20000726	uint16_t	
[14]	34266	0x20000728	uint16_t	
[15]	34714	0x2000072A	uint16_t	
[16]	34114	0x2000072C	uint16_t	
[17]	33150	0x2000072E	uint16_t	
[18]	32265	0x20000730	uint16_t	
[19]	31217	0x20000732	uint16_t	
[20]	27225	0x20000734	uint16_t	
[21]	20916	0x20000736	uint16_t	
[22]	16642	0x20000738	uint16_t	
[23]	16639	0x2000073A	uint16_t	
[24]	22599	0x2000073C	uint16_t	
[25]	29598	0x2000073E	uint16_t	
[26]	32855	0x20000740	uint16_t	
[27]	33320	0x20000742	uint16_t	
[28]	30129	0x20000744	uint16_t	
[29]	23486	0x20000746	uint16_t	
[30]	18106	0x20000748	uint16_t	
[31]	16919	0x2000074A	uint16_t	
[32]	18401	0x2000074C	uint16_t	
[33]	20456	0x2000074E	uint16_t	
[34]	21993	0x20000750	uint16_t	
[35]	23422	0x20000752	uint16_t	
[36]	27936	0x20000754	uint16_t	
[37]	32560	0x20000756	uint16_t	
[38]	34748	0x20000758	uint16_t	
[39]	35013	0x2000075A	uint16_t	
[40]	32339	0x2000075C	uint16_t	
[41]	26638	0x2000075E	uint16_t	
[42]	21093	0x20000760	uint16_t	
[43]	19670	0x20000762	uint16_t	
[44]	24849	0x20000764	uint16_t	
[45]	31195	0x20000766	uint16_t	
[46]	34108	0x20000768	uint16_t	
[47]	34728	0x2000076A	uint16_t	
[48]	34160	0x2000076C	uint16_t	
[49]	33174	0x2000076E	uint16_t	
[50]	32208	0x20000770	uint16_t	
[51]	31312	0x20000772	uint16_t	
[52]	28013	0x20000774	uint16_t	
[53]	21839	0x20000776	uint16_t	
[54]	17099	0x20000778	uint16_t	
[55]	16120	0x2000077A	uint16_t	
[56]	17605	0x2000077C	uint16_t	
[57]	19685	0x2000077E	uint16_t	
[58]	21349	0x20000780	uint16_t	
[59]	22624	0x20000782	uint16_t	
[60]	26923	0x20000784	uint16_t	
[61]	31888	0x20000786	uint16_t	
[62]	34393	0x20000788	uint16_t	
[63]	34864	0x2000078A	uint16_t	
[64]	32542	0x2000078C	uint16_t	
[65]	27015	0x2000078E	uint16_t	
[66]	21027	0x20000790	uint16_t	
[67]	19014	0x20000792	uint16_t	
[68]	23634	0x20000794	uint16_t	
[69]	30398	0x20000796	uint16_t	
[70]	33731	0x20000798	uint16_t	
[71]	34558	0x2000079A	uint16_t	
[72]	32257	0x2000079C	uint16_t	
[73]	26344	0x2000079E	uint16_t	
[74]	20263	0x200007A0	uint16_t	
[75]	18286	0x200007A2	uint16_t	
[76]	22966	0x200007A4	uint16_t	
[77]	30440	0x200007A6	uint16_t	
[78]	34619	0x200007A8	uint16_t	
[79]	36037	0x200007AA	uint16_t	
[80]	34389	0x200007AC	uint16_t	
[81]	28943	0x200007AE	uint16_t	
[82]	21034	0x200007B0	uint16_t	
[83]	16352	0x200007B2	uint16_t	
[84]	19205	0x200007B4	uint16_t	
[85]	26584	0x200007B6	uint16_t	
[86]	31238	0x200007B8	uint16_t	
[87]	32721	0x200007BA	uint16_t	
